title;minutes;date;views
Bringing Edge's DevTools to VS Code for Debugging Web Apps;0:17:18;2021-01-28;33723
A Clean Dev Env, Working Every Time, Everywhere;0:15:28;2021-01-28;31718
VS Code 🔥 Tips and Tricks;0:15:25;2021-01-28;52109
Remote Development with Visual Studio Code;0:16:16;2021-01-28;61046
VS Code Day Keynote with Erich Gamma;0:31:19;2021-01-28;49638
Adding a dev container to a project [3 of 8] | Beginner's Series to: Dev Containers;0:03:00;2021-01-26;14173
Modifying a project configuration [6 of 8] | Beginner's Series to: Dev Containers;0:06:23;2021-01-26;8915
Installing software [7 of 8] | Beginner's Series to: Dev Containers;0:05:26;2021-01-26;6153
Summary and what's next [8 of 8] | Beginner's Series to: Dev Containers;0:02:45;2021-01-26;5399
Running a project in a dev container  [4 of 8] | Beginner's Series to: Dev Containers;0:02:52;2021-01-26;11475
Installing the Remote - Containers Extension [2 of 8] | Beginner's Series to: Dev Containers;0:02:16;2021-01-26;15192
Forwarding ports [5 of 8] | Beginner's Series to: Dev Containers;0:04:41;2021-01-26;9937
Introduction [1 of 8] | Beginner's Series to: Dev Containers;0:03:29;2021-01-26;24120
Version Control in VS Code;0:03:38;2021-01-20;17409
Edit and Run Code in Visual Studio Code;0:03:21;2021-01-12;127329
Build a C++ project in VS Code;0:03:18;2020-11-06;109807
Visual Studio Code v1.50 Launch Party 🎉;0:38:31;2020-10-14;9617
Personalize VS Code with Themes;0:01:42;2020-10-13;22116
Remote collaboration in Visual Studio Code;0:05:25;2020-10-01;73377
Unlock the power of VS Code's Extensions;0:04:21;2020-10-01;94192
Configure C++ IntelliSense in Visual Studio Code;0:03:59;2020-09-18;55001
Extension Authors Call (August 2020);1:01:47;2020-09-17;884
Visual Studio Code v1.49 Launch Party 🎉;0:37:17;2020-09-17;9714
Source Control Tip 18: GitLens;0:00:52;2020-09-16;4761
Source Control Tip 6: Stashing Commits;0:00:33;2020-09-16;2947
Source Control Tip 20: View Git output;0:00:22;2020-09-16;4155
Source Control Tip 7: Staging commits in VS Code;0:00:28;2020-09-16;5216
Source Control Tip 19: Signing a commit via GPG;0:00:50;2020-09-16;4474
Source Control Tip 10: Change the diff view;0:00:21;2020-09-15;3446
Source Control Tip 5: Branching;0:00:29;2020-09-15;1247
Source Control Tip 9: Dealing with Merge Conflicts in VS Code;0:00:53;2020-09-15;29258
Source Control Tip 17: Timeline View;0:00:24;2020-09-15;15141
Source Control Tip 4: Source Control View in VS Code;0:00:43;2020-09-15;14941
Source Control Tip 15: GitHub PR queries in VS Code;0:00:52;2020-09-15;532
Source Control Tip 8: Merge strategies;0:00:30;2020-09-15;903
Source Control Tip 16: Code Reviews in VS Code;0:01:04;2020-09-15;1908
Source Control Tip 14: Request a reviewer for your PR;0:00:32;2020-09-15;562
Source Control Tip 1: GitHub Codespaces;0:01:52;2020-09-15;7712
Source Control Tip 13: Manage GitHub Issues in VS Code;0:00:43;2020-09-11;1774
Source Control Tip 12: Create GitHub Issues in VS Code;0:00:58;2020-09-11;1814
Visual Studio Code v1.48 Launch Party 🎉;0:44:21;2020-09-09;1801
Source Control Tip 11: GitHub Pull Requests and Issues extension;0:00:42;2020-08-31;5255
Source Control Tip 3: Publishing Repos;0:00:28;2020-08-31;7316
Source Control Tip 2: Clone Repos from VS Code;0:01:16;2020-08-31;32334
Secret Message inspired by WONDER WOMAN 1984;0:18:42;2020-08-09;531
Secret Message inspired by WONDER WOMAN 1984;0:28:34;2020-08-07;1160
Visual Studio Code Development Containers: A Guide for Students;0:05:35;2020-07-27;56749
VS Code Accessibility Call - July 2020;0:56:04;2020-07-23;609
Visual Studio Code v1.47 Launch Party  🎉;0:44:23;2020-07-13;8924
June 2020 Extension Authors Call;1:02:59;2020-07-10;717
Microsoft VS Code Closing Ceremony;1:22:50;2020-06-29;1194
VS Code Hackathon Opening Ceremony;0:31:00;2020-06-27;7196
VS Code Accessibility Call - June 2020;0:51:36;2020-06-23;371
VS Code Accessibility call - May 2020;0:46:12;2020-05-12;996
April 2020 Extension Authors Call;0:56:10;2020-05-07;1242
Visual Studio Code Release Highlights - March 2020;0:06:41;2020-04-24;21125
Visual Studio Code Release Highlights - February 2020;0:07:38;2020-04-24;2446
March 2020 Extension Authors Call;1:06:10;2020-04-08;1076
Visual Studio Code Release Highlights - September 2019;0:02:18;2019-10-14;4320
Visual Studio Code Release Highlights - August 2019;0:02:33;2019-10-14;2155
Visual Studio Code Release Highlights - July 2019;0:02:17;2019-08-08;10269
Visual Studio Code Remote - WSL;0:01:47;2019-05-02;77030
Visual Studio Code Remote - SSH;0:01:56;2019-05-02;148379
Visual Studio Code Remote - Containers;0:02:21;2019-05-02;43031
Remote Python Development with Visual Studio Code;0:06:44;2019-05-02;43261
Visual Studio Code Release Highlights - March 2019;0:02:19;2019-04-10;4018
Visual Studio Code Release Highlights - February 2019;0:02:02;2019-03-18;3784
Visual Studio Code Release Highlights - January 2019;0:02:20;2019-02-12;13398
Visual Studio Code Release Highlights - October 2018;0:02:16;2018-11-12;4924
Visual Studio Code Release Highlights - September 2018;0:02:02;2018-10-08;4306
Visual Studio Code Release Highlights - August 2018;0:02:06;2018-09-10;3100
Visual Studio Code Release Highlights - June 2018;0:01:47;2018-07-05;7633
Visual Studio Code Release Highlights - April 2018;0:01:38;2018-06-10;3411
Visual Studio Code Release Highlights - May 2018;0:02:05;2018-06-10;12145
Visual Studio Code Release Highlights - March 2018;0:02:09;2018-04-05;4566
Visual Studio Code Release Highlights - February 2018;0:02:05;2018-03-07;4974
Getting started with Node.js debugging in VS Code;0:08:04;2018-02-13;400157
VS Code - Debugging;0:06:09;2017-03-22;372860
VS Code - IntelliSense;0:06:19;2017-03-22;240471
VS Code - Extensions;0:05:06;2017-03-22;202918
VS Code - Customization;0:05:47;2017-03-22;363861
VS Code - Quick Intro to JavaScript;0:03:49;2017-03-22;384212
VS Code - Setup and Basics;0:05:54;2017-02-02;329210
Git Version Control in VS Code;0:03:55;2016-10-13;359198
Advanced Code Editing in VS Code;0:06:04;2016-10-13;366983
